"LocalUserId","DateCreated","LastLogin"
"aabdlra","2013-01-08",NULL
"aahmed","2011-02-07",NULL
"aahoope","2012-10-03","2013-03-09"
"aalghaz","2013-01-31","2015-10-15"
"aander9","2012-10-31","2015-06-02"
"aanthon","2012-08-29",NULL
"aapon","2011-08-16","2016-11-27"
"aaraker","2011-03-24",NULL
"abangal","2011-01-21","2011-10-31"
"abaraka","2010-10-11",NULL
"abcaldwell","2013-02-15",NULL
"abhishe","2010-10-26","2015-08-18"
"abowers","2009-06-29","2014-04-04"
"abrice","2008-01-09",NULL
"abridne","2012-09-03","2016-05-04"
"abrown","2009-02-10",NULL
"accelrys","2011-10-13",NULL
"achanna","2012-10-08","2016-12-13"
"achora","2010-01-14",NULL
"achorni","2010-11-10","2016-12-14"
"acwarne","2010-12-03",NULL
"adpowel","2011-10-20",NULL
"afiore","2012-10-02","2016-07-18"
"agilbo","2008-01-09",NULL
"agillespie","2011-06-20","2012-11-02"
"agoel","2012-01-11","2012-01-16"
"agrujic","2011-07-29",NULL
"aguesmi","2011-02-07",NULL
"agundam","2011-12-08","2016-10-27"
"agupte","2012-09-04","2016-11-21"
"aheydenusc","2012-06-14","2012-07-27"
"aishwac","2013-01-07","2014-03-25"
"ajalisa","2012-01-17","2012-05-08"
"ajayaka","2012-10-30","2012-10-30"
"ajkelly","2013-01-07","2013-03-30"
"ajmcdow","2012-07-19","2014-03-30"
"ajnaik","2012-01-17","2013-01-28"
"akale","2011-11-16","2016-03-20"
"akhamka","2013-01-31",NULL
"akorobe","2010-08-19",NULL
"akorucu","2009-10-28","2016-11-29"
"alison","2012-06-12",NULL
"alisonn","2012-01-17",NULL
"alitabesh","2011-05-18","2014-01-28"
"allenclabo","2011-01-20",NULL
"allyolejar","2012-06-26",NULL
"amalvag","2013-01-07","2013-04-24"
"amangel","2011-02-07","2016-07-13"
"amangip","2009-02-16",NULL
"amanhar","2012-09-05","2015-06-25"
"amast","2013-01-07","2013-04-23"
"amasten","2013-01-07",NULL
"amber1","2012-08-29",NULL
"amcdoug","2009-03-06",NULL
"amcinty","2011-10-26","2013-08-21"
"amillsa","2012-10-02","2015-03-25"
"amirmroth","2011-02-18","2014-04-14"
"amorlan","2012-11-20","2013-04-24"
"amrose","2011-09-13",NULL
"anander","2012-11-20",NULL
"anaoprisan","2011-02-16",NULL
"andrewd","2011-01-24","2016-11-22"
"andyshedlock","2011-04-26","2012-02-02"
"aniketj","2012-01-13","2012-04-16"
"anthonybishara","2011-02-17","2012-08-06"
"anupria","2012-10-31","2016-12-12"
"anwilso","2013-02-27","2013-06-10"
"aortiz","2009-07-09",NULL
"aouzts","2011-05-26",NULL
"apalmit","2013-02-27","2013-12-08"
"apapke","2013-02-25","2013-09-23"
"apg","2013-02-08","2016-12-13"
"apinise","2011-08-26","2012-03-07"
"apyashkin","2008-09-03","2012-04-02"
"aranifardusc","2012-06-14",NULL
"arayama","2011-05-27","2016-09-02"
"arazmjo","2013-02-26","2013-11-25"
"arosen","2008-11-25","2013-02-10"
"asheldo","2012-02-03","2012-06-22"
"ashleia","2012-08-29","2012-12-06"
"ashores","2012-06-15","2012-08-06"
"ashrenderer","2011-10-16","2011-12-13"
"asrikan","2008-02-01",NULL
"asriram","2010-11-29","2013-02-01"
"atboyd","2013-01-07","2013-04-24"
"aubreyl","2012-08-29","2014-11-10"
"awachte","2012-08-29","2012-11-29"
"awhitle","2008-10-29",NULL
"awmccar","2013-02-15","2016-02-03"
"ayaz","2008-11-20",NULL
"ayushb","2013-01-07","2014-02-07"
"b","2009-03-23",NULL
"baldwi6","2012-01-25",NULL
"baldwin","2009-11-21","2016-07-28"
"baoweiliu","2011-02-17",NULL
"barnet3","2008-05-26",NULL
"barryv","2011-06-07","2012-06-05"
"batkinson","2011-04-06","2013-10-03"
"bbai","2010-11-10",NULL
"bbalasu","2012-09-18","2016-04-20"
"bbauer","2010-03-05",NULL
"bblckmn","2010-09-01","2016-08-29"
"bblewis","2010-01-27",NULL
"bcdean","2008-06-30","2016-11-01"
"bcheruk","2010-01-08",NULL
"bcousin","2009-09-04","2012-10-19"
"bdandur","2008-08-12",NULL
"bdc","2012-11-30","2015-12-21"
"bearde2","2012-06-12","2016-12-07"
"bebower","2011-02-11",NULL
"beck","2011-09-05",NULL
"behtashusc","2012-06-14","2013-10-04"
"benwhetst","2012-01-11","2012-04-19"
"bersak","2012-10-31","2015-12-07"
"bgrier","2010-11-10",NULL
"bhaskap","2011-03-24",NULL
"bingpan01","2011-02-17","2012-03-01"
"biswaspradip","2009-04-06","2011-10-29"
"bjcampb","2012-02-03","2014-03-28"
"bkathie","2008-04-01",NULL
"blam","2012-09-19","2013-02-18"
"blee","2008-06-05",NULL
"blenda","2008-08-19",NULL
"bluitel","2012-01-13","2013-11-21"
"bmazumd","2012-06-12",NULL
"bnaji","2012-12-24","2013-01-22"
"bnemati","2011-06-07","2011-10-22"
"bobmason1","2012-07-02",NULL
"bobs","2008-01-15",NULL
"bokaicofc","2011-05-02","2013-09-18"
"bol","2009-10-08","2012-05-15"
"bosulli","2012-08-24","2013-08-16"
"bparton","2010-10-11","2012-02-12"
"bpei","2011-03-30","2015-11-03"
"bpelfre","2011-01-21","2012-11-26"
"brad","2011-09-05","2014-08-31"
"bradfom","2008-03-11",NULL
