PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Demir, Tugba; Seeber, Michael; Galabura, Yuriy; Zdyrko, Bogdan; Luzinov, Igor								Surface modification with perfluoro substituted isophthaloic acid for reduction of surface wettability with non-aqueous liquids								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			668-COLL							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621802836		
J	Dominy, Brian N.; Date, Mihir S.								Nonpolar contributions to solvation free energy and the impact of salts								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			252-COMP							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621803193		
J	Eubanks, Dwaine								Thomas Green Clemson, early advocate for applying science to agriculture								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			19-HIST							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621804618		
J	Giammarco, James M.; Zdyrko, Bogdan; Wilkinson, Jackie; Musgraves, J. David; Richardson, Kathleen; Agarwal, Anu; Kimerling, Lionel; Hu, Juejun; Luzinov, Igor				Richardson, Kathleen/A-6012-2011				Enrichment polymer systems for FT-IR detection of chemical vapors								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			292-ANYL							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621801147		
J	Grogan, Kelly P.; DeVol, Timothy; Powell, Brian				Powell, Brian /C-7640-2011	Powell, Brian /0000-0003-0423-0180			Analytical method for aqueous iodine speciation with application to iodine interaction with hausmannite								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			35-NUCL							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621806182		
J	He, Ming; McAliley, James; Bruce, David A.								Computational approach for the rational design of bimetallic syngas to ethanol catalysts								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			492-ENFL							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621804045		
J	Hill, Sarah C.; Htet, Yamin; McSwain, Meredith; Ritchie, Earl; Pennington, William T.								Polydiacetylene sensors for food safety applications								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			56-AGFD							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621800121		
J	Hinrichs, Karsten; Bittrich, Eva; Aulich, Dennis; Furchner, Andreas; Minko, Sergiy; Luzinov, Igor; Stamm, Manfred; Uhlmann, Petra; Eichhorn, Klaus-Jochen				Umlauf, Ursula/D-3356-2014; Hinrichs, Karsten/C-7222-2016	Hinrichs, Karsten/0000-0002-6580-7791			Ellipsometry for study of smart polymer brushes								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			401-PMSE							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621808158		
J	Jetty, Ragini; Bandera, Yuriy; Foulger, Stephen; Hung, Hsin-I; Ramshesh, Venkat; Nieminen, Anna-Liisa; Lemasters, John								Routes to achieving "bright" near-infrared fluorescing nanoparticles: Controlling chromophore aggregation								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			90-POLY							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621808270		
J	Kelly, Jesse C.; Pepin, Mark; Huber, Dale L.; Bunker, Bruce C.; Roberts, Mark E.								Reversible control of electrochemical properties using thermally-responsive polymer electrolytes								ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY				244			421-PMSE							AUG 19 2012	2012						244th National Fall Meeting of the American-Chemical-Society (ACS)244th National Fall Meeting of the American-Chemical-Society (ACS)	AUG 19-23, 2012AUG 19-23, 2012	Amer Chem Soc, Div Hist Chem; Amer Chem SocAmer Chem Soc, Div Hist Chem; Amer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0065-7727			WOS:000324621808176		
